fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(773.436, 778.265]",3118,0.006261091443587743,775.8529967792482,4078.02577289286,6921.898283225678,6772.0,0.00032071840923669016,500.0,40000.0,6778.703012582917,7065.093553868439,7657.312079731054
"(240.3, 261.21]",3118,0.9008483386602294,250.94574338500374,5773.186680518597,6950.9184007403765,5868.0,0.9720974983964079,500.0,40000.0,6748.199468779922,7153.6373327008305,6462.427565884118
"(768.42, 773.436]",3117,0.00670399928433963,770.890865677603,4358.217818236222,6989.167663527391,6600.0,0.0006416426050689766,500.0,38400.0,6836.109200188842,7142.2261268659395,7657.312079731054
"(492.352, 501.641]",3117,0.23130192924150803,496.9820965993514,6266.9783603192,7017.371963899441,5670.0,0.1976259223612448,400.0,40000.0,6797.278770394351,7237.46515740453,7017.371963899441
"(732.218, 737.584]",3118,0.01099914142474265,734.8654965905941,4487.207329119459,7022.380187763039,6624.0,0.003848620910840282,200.0,38400.0,6864.816968767581,7179.943406758498,7657.312079731054
"(753.353, 758.501]",3118,0.008236562043055286,755.9294483837265,4644.90543277703,7029.199767239933,6732.0,0.0009621552277100705,500.0,100000.0,6866.099157386575,7192.300377093291,7657.312079731054
"(748.28, 753.353]",3117,0.008833772380167325,750.836460996927,4409.224745504503,7071.619021773449,6652.0,0.0019249278152069298,50.0,38400.0,6916.769220270333,7226.468823276566,7657.312079731054
"(758.501, 763.537]",3118,0.007675671336719227,761.0566834540026,4497.920657958284,7089.680370992751,6663.0,0.001603592046183451,200.0,36000.0,6931.740965551204,7247.619776434298,7657.312079731054
"(742.878, 748.28]",3118,0.009493420093928348,745.594722835435,4486.395132376739,7107.444569828136,6715.0,0.001924310455420141,500.0,40000.0,6949.909870204272,7264.979269452,7657.312079731054
"(737.584, 742.878]",3118,0.010213704441790282,740.2663875688144,4452.362751596583,7215.216468305138,6887.0,0.0025657472738935213,500.0,38400.0,7058.876777307463,7371.556159302812,7657.312079731054
"(726.848, 732.218]",3118,0.011835132734982172,729.520495141224,4517.34761846235,7217.261485479186,6817.0,0.001924310455420141,500.0,40000.0,7058.639924253917,7375.883046704455,7657.312079731054
"(501.641, 510.668]",3118,0.20951709563762652,506.13452604664695,6391.833714091766,7271.541042708866,5997.0,0.17030147530468248,400.0,46080.0,7047.099018659662,7495.983066758071,7271.541042708866
"(510.668, 519.527]",3118,0.18964028410038292,515.1169742644001,6433.499465084854,7352.582507491206,6046.0,0.15234124438742783,108.0,40000.0,7126.677437639386,7578.487577343027,7352.582507491206
"(721.449, 726.848]",3117,0.012737954163166965,724.1514333005676,5003.231778036658,7355.588575975937,7000.0,0.0028873917228103944,400.0,100000.0,7179.877540040885,7531.2996119109885,7657.312079731054
